Date,Draw,B1,B2,B3,B4,B5,E1,E2,Sum_Balls,Even_Count,Max_Gap,Has_13,Div_3_Count,Div_5_Count
2004-02-13 00:00:00.000000,1,14,18,31,40,46,8,11,149,4,13,False,1,1
2004-02-17 07:10:10.500905,2,5,11,41,42,43,3,10,142,1,30,False,1,1
2004-02-21 14:20:21.001810,3,8,18,28,39,50,2,3,143,4,11,False,2,1
2004-02-25 21:30:31.502715,4,16,18,43,49,50,2,12,176,3,25,False,1,1
2004-03-01 04:40:42.003621,5,8,14,22,34,47,2,9,125,4,13,False,0,0
2004-03-05 11:50:52.504526,6,9,11,38,40,48,2,11,146,3,27,False,2,1
2004-03-09 19:01:03.005431,7,5,15,28,41,43,5,9,132,1,13,False,1,2
2004-03-14 02:11:13.506336,8,10,11,14,25,41,3,8,101,2,16,False,0,2
2004-03-18 09:21:24.007242,9,6,7,29,35,38,6,9,115,2,22,False,1,1
2004-03-22 16:31:34.508147,10,1,6,8,44,50,3,8,109,4,36,False,1,1
2004-03-26 23:41:45.009052,11,21,24,30,33,34,6,12,142,3,6,False,4,1
2004-03-31 06:51:55.509957,12,7,26,30,34,48,2,3,145,4,19,False,2,1
2004-04-04 14:02:06.010863,13,4,8,28,34,40,3,10,114,5,20,False,0,1
2004-04-08 21:12:16.511768,14,7,13,36,38,50,2,6,144,3,23,True,1,1
2004-04-13 04:22:27.012673,15,23,33,35,39,47,1,9,177,0,10,False,2,1
2004-04-17 11:32:37.513578,16,14,19,30,32,36,2,10,131,4,11,False,2,1
2004-04-21 18:42:48.014484,17,7,10,16,23,25,10,11,81,2,7,False,0,2
2004-04-26 01:52:58.515389,18,2,20,26,39,50,1,5,137,4,18,False,1,2
2004-04-30 09:03:09.016294,19,9,19,28,31,42,1,5,129,2,11,False,2,0
2004-05-04 16:13:19.517199,20,2,6,20,32,46,9,11,106,5,14,False,1,1
2004-05-08 23:23:30.018105,21,5,9,10,11,49,5,12,84,1,38,False,1,2
