Date_Jeu,B1,B2,B3,B4,B5,E1,E2,Sum_Balls,Even_Count,Has_13
2020-12-08,5,13,19,33,49,8,12,119,0,True
2021-02-05,7,10,16,19,44,3,12,96,3,False
2021-02-19,5,9,13,19,33,4,12,79,0,True
2021-02-19,2,11,13,22,33,3,7,81,2,True
2021-03-02,9,18,33,43,48,7,12,151,2,False
2021-04-06,2,7,8,11,12,4,9,40,3,False
2021-04-06,7,8,11,12,13,1,10,51,2,True
2021-10-01,4,17,18,19,33,7,11,91,2,False
2021-10-01,1,2,15,26,41,1,7,85,2,False
2021-10-12,18,19,21,29,47,10,11,134,1,False
2021-10-15,7,8,17,27,44,7,11,103,2,False
2021-10-22,11,17,20,29,33,3,8,110,1,False
2021-10-29,5,7,18,35,43,1,10,108,1,False
2021-12-07,12,19,33,44,47,7,11,155,2,False
2021-12-21,1,7,10,16,39,8,11,73,2,False
2021-12-24,1,7,10,16,39,8,11,73,2,False
2021-12-24,18,21,33,34,48,9,12,154,3,False
2021-12-28,1,3,9,14,25,1,3,52,1,False
2022-01-28,9,13,17,27,31,2,3,97,0,True
2022-02-04,15,19,33,36,48,8,11,151,2,False
2022-02-22,5,7,17,20,40,2,12,89,2,False
2022-03-01,5,15,20,33,39,3,12,112,1,False
2022-03-04,3,6,21,30,41,1,11,101,2,False
2022-03-11,1,7,22,34,44,8,11,108,3,False
2022-03-15,11,12,23,32,47,4,7,125,2,False
2022-04-26,8,12,13,19,33,4,10,85,2,True
2022-05-13,4,8,12,13,33,7,11,70,3,True
2022-05-13,7,11,12,13,33,4,8,76,1,True
2022-05-13,7,32,33,43,44,4,8,159,2,False
2022-05-17,8,33,42,43,48,5,6,174,3,False
2022-06-03,17,33,35,47,48,7,8,180,1,False
2022-06-17,9,11,12,33,38,11,12,103,2,False
2022-06-21,1,3,9,21,48,1,2,82,1,False
2022-07-01,13,16,25,33,37,3,11,124,1,True
2022-07-05,7,19,33,44,47,8,9,150,1,False
2022-07-08,15,17,18,19,40,7,8,109,2,False
2022-07-12,15,17,18,19,40,7,8,109,2,False
2022-07-15,15,17,18,19,40,7,8,109,2,False
2022-07-19,15,17,18,19,40,7,8,109,2,False
2022-07-22,15,17,18,19,40,7,8,109,2,False
2022-07-26,15,17,18,19,40,7,8,109,2,False
2022-07-29,15,17,18,19,40,7,8,109,2,False
2022-08-02,15,17,18,19,40,7,8,109,2,False
2022-08-05,15,17,18,19,40,7,8,109,2,False
2022-08-09,15,17,18,19,40,7,8,109,2,False
2022-08-12,15,17,18,19,40,7,8,109,2,False
2022-08-16,15,17,18,19,40,7,8,109,2,False
2022-08-19,15,17,18,19,40,7,8,109,2,False
2022-08-23,15,17,18,19,40,7,8,109,2,False
2022-11-18,10,13,18,22,32,6,9,95,4,True
2022-11-29,10,13,20,30,33,2,9,106,3,True
2022-12-02,13,17,19,20,33,4,12,102,1,True
2022-12-09,17,20,23,32,34,6,7,126,3,False
2023-01-03,7,12,18,33,50,8,11,120,3,False
2023-01-06,8,14,21,42,44,4,6,129,4,False
2023-01-10,12,15,20,23,33,6,9,103,2,False
2023-01-13,7,12,18,33,50,8,11,120,3,False
2023-01-20,19,21,35,38,42,3,6,155,2,False
2023-01-27,3,10,27,42,50,6,7,132,3,False
2023-02-03,5,13,19,25,48,6,9,110,1,True
2023-02-03,3,18,22,36,44,1,2,123,4,False
2023-02-03,5,13,19,33,48,6,9,118,1,True
2023-02-03,1,5,13,19,48,6,9,86,1,True
2023-02-03,15,23,26,34,38,6,9,136,3,False
2023-02-07,11,12,18,19,27,7,8,87,2,False
2023-02-10,14,15,17,32,44,2,10,122,3,False
2023-02-14,10,16,18,42,47,8,11,133,4,False
2023-02-17,5,20,35,49,50,3,8,159,2,False
2023-02-21,17,24,29,48,49,1,7,167,2,False
2023-02-21,11,15,28,37,49,3,6,140,1,False
2023-02-24,6,13,16,18,35,6,7,88,3,True
2023-02-28,13,25,27,35,46,2,8,146,1,True
2023-03-07,13,25,27,29,33,1,7,127,0,True
2023-03-07,10,22,32,43,49,7,8,156,3,False
