Date_Jeu,B1,B2,B3,B4,B5,E1,E2
2020-12-08 00:00:00,5,13,19,33,49,8,12
2021-02-05 00:00:00,7,10,16,19,44,3,12
2021-02-19 00:00:00,5,9,13,19,33,4,12
2021-02-19 00:00:00,2,11,13,22,33,3,7
2021-03-02 00:00:00,9,18,33,43,48,7,12
2021-04-06 00:00:00,2,7,8,11,12,4,9
2021-04-06 00:00:00,7,8,11,12,13,1,10
2021-10-01 00:00:00,4,17,18,19,33,7,11
2021-10-01 00:00:00,1,2,15,26,41,1,7
2021-10-12 00:00:00,18,19,21,29,47,10,11
2021-10-15 00:00:00,7,8,17,27,44,7,11
2021-10-22 00:00:00,11,17,20,29,33,3,8
2021-10-29 00:00:00,5,7,18,35,43,1,10
2021-12-07 00:00:00,12,19,33,44,47,7,11
2021-12-21 00:00:00,1,7,10,16,39,8,11
2021-12-24 00:00:00,1,7,10,16,39,8,11
2021-12-24 00:00:00,18,21,33,34,48,9,12
2021-12-28 00:00:00,1,3,9,14,25,1,3
2022-01-28 00:00:00,9,13,17,27,31,2,3
2022-02-04 00:00:00,15,19,33,36,48,8,11
2022-02-22 00:00:00,5,7,17,20,40,2,12
2022-03-01 00:00:00,5,15,20,33,39,3,12
2022-03-04 00:00:00,3,6,21,30,41,1,11
2022-03-11 00:00:00,1,7,22,34,44,8,11
2022-03-15 00:00:00,11,12,23,32,47,4,7
2022-04-26 00:00:00,8,12,13,19,33,4,10
2022-05-13 00:00:00,4,8,12,13,33,7,11
2022-05-13 00:00:00,7,11,12,13,33,4,8
2022-05-13 00:00:00,7,32,33,43,44,4,8
2022-05-17 00:00:00,8,33,42,43,48,5,6
2022-06-03 00:00:00,17,33,35,47,48,7,8
2022-06-17 00:00:00,9,11,12,33,38,11,12
2022-06-21 00:00:00,1,3,9,21,48,1,2
2022-07-01 00:00:00,13,16,25,33,37,3,11
2022-07-05 00:00:00,7,19,33,44,47,8,9
2022-07-08 00:00:00,15,17,18,19,40,7,8
2022-07-12 00:00:00,15,17,18,19,40,7,8
2022-07-15 00:00:00,15,17,18,19,40,7,8
2022-07-19 00:00:00,15,17,18,19,40,7,8
2022-07-22 00:00:00,15,17,18,19,40,7,8
2022-07-26 00:00:00,15,17,18,19,40,7,8
2022-07-29 00:00:00,15,17,18,19,40,7,8
2022-08-02 00:00:00,15,17,18,19,40,7,8
2022-08-05 00:00:00,15,17,18,19,40,7,8
2022-08-09 00:00:00,15,17,18,19,40,7,8
2022-08-12 00:00:00,15,17,18,19,40,7,8
2022-08-16 00:00:00,15,17,18,19,40,7,8
