Numéro,Fréquence,Attendu,Écart,Ratio
1,11,13.4,-2.4000000000000004,0.8208955223880596
2,10,13.4,-3.4000000000000004,0.7462686567164178
3,8,13.4,-5.4,0.5970149253731343
4,7,13.4,-6.4,0.5223880597014925
5,14,13.4,0.5999999999999996,1.044776119402985
6,6,13.4,-7.4,0.44776119402985076
7,24,13.4,10.6,1.791044776119403
8,15,13.4,1.5999999999999996,1.1194029850746268
9,13,13.4,-0.40000000000000036,0.9701492537313433
10,15,13.4,1.5999999999999996,1.1194029850746268
11,18,13.4,4.6,1.3432835820895521
12,18,13.4,4.6,1.3432835820895521
13,24,13.4,10.6,1.791044776119403
14,7,13.4,-6.4,0.5223880597014925
15,27,13.4,13.6,2.014925373134328
16,16,13.4,2.5999999999999996,1.1940298507462686
17,32,13.4,18.6,2.388059701492537
18,32,13.4,18.6,2.388059701492537
19,37,13.4,23.6,2.761194029850746
20,14,13.4,0.5999999999999996,1.044776119402985
21,9,13.4,-4.4,0.6716417910447761
22,8,13.4,-5.4,0.5970149253731343
23,14,13.4,0.5999999999999996,1.044776119402985
24,8,13.4,-5.4,0.5970149253731343
25,6,13.4,-7.4,0.44776119402985076
26,4,13.4,-9.4,0.29850746268656714
27,16,13.4,2.5999999999999996,1.1940298507462686
28,7,13.4,-6.4,0.5223880597014925
29,11,13.4,-2.4000000000000004,0.8208955223880596
30,6,13.4,-7.4,0.44776119402985076
31,3,13.4,-10.4,0.22388059701492538
32,13,13.4,-0.40000000000000036,0.9701492537313433
33,35,13.4,21.6,2.6119402985074625
34,7,13.4,-6.4,0.5223880597014925
35,15,13.4,1.5999999999999996,1.1194029850746268
36,7,13.4,-6.4,0.5223880597014925
37,8,13.4,-5.4,0.5970149253731343
38,14,13.4,0.5999999999999996,1.044776119402985
39,10,13.4,-3.4000000000000004,0.7462686567164178
40,17,13.4,3.5999999999999996,1.2686567164179103
41,6,13.4,-7.4,0.44776119402985076
42,8,13.4,-5.4,0.5970149253731343
43,12,13.4,-1.4000000000000004,0.8955223880597015
44,20,13.4,6.6,1.4925373134328357
45,3,13.4,-10.4,0.22388059701492538
46,3,13.4,-10.4,0.22388059701492538
47,9,13.4,-4.4,0.6716417910447761
48,20,13.4,6.6,1.4925373134328357
49,12,13.4,-1.4000000000000004,0.8955223880597015
50,10,13.4,-3.4000000000000004,0.7462686567164178
