Rang,Match,Observé,Attendu,Ratio,Gain_Moyen_CHF
1,5+2,0,9.582505948304812e-07,0.0,50000000
2,5+1,0,1.9165011896609623e-05,0.0,300000
3,5+0,0,4.31212721418883e-05,0.0,50000
4,4+2,0,0.00021560636070944148,0.0,3000
5,4+1,0,0.004312148028962189,0.0,150
6,3+2,0,0.009486725663716814,0.0,80
7,4+0,0,0.009702411121569764,0.0,60
8,2+2,0,0.13604060913705585,0.0,20
9,3+1,0,0.1898016997167139,0.0,15
10,3+0,0,0.4267515923566879,0.0,12
11,1+2,0,0.7127659574468085,0.0,8
12,2+1,0,2.7346938775510203,0.0,5
13,2+0,0,6.090909090909091,0.0,4
